number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,1.985816581085715,2022-01-31 18:06:03.911565,2022-01-31 18:06:10.743248,0 days 00:00:06.831683,16,0.1,"{'reg_lambda': 0.1, 'hidden_size': 16}",COMPLETE
1,1.0835922133842628,2022-01-31 18:06:10.744248,2022-01-31 18:06:17.878458,0 days 00:00:07.134210,360,9.90386375268307,,COMPLETE
2,1.0320626617401498,2022-01-31 18:06:17.879458,2022-01-31 18:06:25.304574,0 days 00:00:07.425116,511,0.20032016069344522,,COMPLETE
3,1.0561521880654348,2022-01-31 18:06:25.305574,2022-01-31 18:06:32.462706,0 days 00:00:07.157132,258,3.7007479400911727,,COMPLETE
